#{"t_start": 1762470392.042762, "env_id": "None"}
r,l,t
15.9,200,16.62974
48.2,200,16.672936
53.9,200,16.714411
34.3,200,16.757703
56.7,200,16.798845
34.0,200,16.843028
33.4,200,16.884601
49.0,200,16.926479
48.2,200,16.96922
52.8,200,17.012507
19.5,200,17.05737
28.8,200,17.100298
13.8,200,17.144645
29.8,200,17.189016
24.9,200,17.231093
46.4,200,17.274239
49.4,200,17.315253
56.8,200,17.358739
44.8,200,17.40043
52.6,200,17.441946
57.4,200,17.484566
54.2,200,17.528354
57.4,200,17.570971
6.8,200,17.614508
8.6,200,17.657593
15.0,200,17.70251
31.3,200,17.744678
34.3,200,17.787114
48.8,200,17.829409
42.7,200,17.873517
51.0,200,17.917086
5.8,200,17.959916
33.2,200,18.003823
26.9,200,18.047966
16.9,200,18.091893
59.3,200,18.133447
36.5,200,18.177112
29.3,200,18.221963
24.7,200,18.263486
13.9,200,18.307202
43.6,200,18.349245
23.7,200,18.393066
45.0,200,18.438392
42.3,200,18.481111
53.9,200,18.523067
27.2,200,18.565864
58.1,200,18.606902
55.8,200,18.649144
28.8,200,18.691446
52.9,200,18.735294
50.6,200,18.777224
6.0,200,18.820658
31.2,200,18.862621
34.7,200,18.906287
11.9,200,18.95076
32.2,200,18.992761
28.8,200,19.036518
28.8,200,19.080463
31.8,200,19.1237
48.8,200,19.166348
55.9,200,19.207065
2.7,200,19.252033
58.7,200,19.293581
30.4,200,19.334611
22.7,200,19.38006
21.7,200,19.423563
16.0,200,19.468906
14.8,200,19.512289
19.2,200,19.555888
30.3,200,19.60007
33.1,200,19.643208
52.3,200,19.685789
55.9,200,19.726469
50.8,200,19.769691
46.6,200,19.812494
27.3,200,19.854886
30.9,200,19.897096
50.9,200,19.939968
46.4,200,19.982254
51.2,200,20.024916
58.3,200,20.065913
55.9,200,20.109719
38.7,200,20.151302
57.2,200,20.191919
49.8,200,20.234223
16.0,200,20.279051
42.5,200,20.321695
24.8,200,20.363903
56.0,200,20.405725
26.4,200,20.449693
44.2,200,20.491093
46.4,200,20.535056
4.8,200,20.577044
55.3,200,20.620363
33.2,200,20.663792
13.0,200,20.707283
53.4,200,20.750225
37.4,200,20.794453
50.7,200,20.837515
49.3,200,20.879167
37.1,200,20.921051
41.8,200,20.965379
53.3,200,21.007347
52.8,200,21.049576
45.2,200,21.093105
34.9,200,21.137528
58.7,200,21.179976
35.3,200,21.22326
33.1,200,21.265998
22.6,200,21.308919
21.1,200,21.350198
51.9,200,21.392841
40.2,200,21.434775
46.0,200,21.479048
3.4,200,21.521601
58.9,200,21.562336
59.0,200,21.604855
36.2,200,21.649616
50.8,200,21.692336
44.9,200,21.735011
55.2,200,21.777502
48.1,200,21.821007
56.3,200,21.862089
51.1,200,21.906206
7.8,200,21.949128
53.3,200,21.992853
16.1,200,22.036328
33.7,200,22.078541
7.8,200,22.12238
16.7,200,22.167848
49.8,200,22.211787
23.0,200,22.255015
33.3,200,22.296731
58.2,200,22.340151
41.4,200,22.383236
4.5,200,22.426079
47.0,200,22.467381
36.6,200,22.511892
38.7,200,22.55342
58.3,200,22.594464
24.5,200,22.638041
55.5,200,22.680993
57.9,200,22.722698
24.2,200,22.765762
55.2,200,22.807321
52.3,200,22.850718
46.1,200,22.893563
58.6,200,22.935522
24.0,200,22.977665
49.7,200,23.020639
52.8,200,23.062592
57.6,200,23.103467
21.0,200,23.146706
26.2,200,23.19003
48.4,200,23.231568
27.2,200,23.274602
26.8,200,23.316886
44.5,200,23.360904
57.6,200,23.401848
58.5,200,23.442602
57.5,200,23.48449
37.4,200,23.531404
10.6,200,23.575696
26.1,200,23.619088
21.5,200,23.662016
21.7,200,23.70527
48.9,200,23.748163
53.3,200,23.790132
42.4,200,23.83268
47.0,200,23.876642
30.3,200,23.917954
5.7,200,23.96127
40.3,200,24.005173
45.5,200,24.04868
33.2,200,24.090918
19.7,200,24.135748
56.0,200,24.17714
28.2,200,24.221606
51.3,200,24.263199
18.9,200,24.308312
23.3,200,24.351512
33.9,200,24.395588
40.0,200,24.439574
17.9,200,24.484196
32.8,200,24.527041
51.7,200,24.569649
37.4,200,24.612466
47.7,200,24.655349
30.2,200,24.696738
31.9,200,24.741499
36.3,200,24.783762
44.9,200,24.827133
22.4,200,24.872024
58.3,200,24.939612
41.1,200,24.981133
54.4,200,25.021751
51.8,200,25.064741
52.4,200,25.108101
49.7,200,25.150646
41.3,200,25.193792
36.1,200,25.235722
57.6,200,25.278826
47.9,200,25.321108
50.7,200,25.363528
45.4,200,25.405552
42.7,200,25.450082
53.8,200,25.492274
37.7,200,25.534895
22.7,200,25.577676
55.1,200,25.62022
10.9,200,25.664223
18.3,200,25.706629
57.7,200,25.747631
54.8,200,25.790961
52.9,200,25.832082
15.0,200,25.876927
45.9,200,25.919819
7.3,200,25.963423
57.9,200,26.005161
47.2,200,26.048225
50.7,200,26.090266
57.4,200,26.133445
22.6,200,26.175571
39.4,200,26.219022
46.8,200,26.261742
31.8,200,26.311207
35.3,200,26.353485
17.7,200,26.398042
5.0,200,26.441356
55.6,200,26.484006
29.7,200,26.527101
49.7,200,26.568596
30.4,200,26.61253
52.8,200,26.655251
38.3,200,26.697198
5.0,200,26.740669
52.3,200,26.782494
25.7,200,26.82728
21.7,200,26.869159
47.9,200,26.913281
36.9,200,26.954919
21.8,200,27.000241
11.0,200,27.045348
20.9,200,27.089382
46.1,200,27.132496
23.6,200,27.178671
29.9,200,27.223957
14.3,200,27.266802
44.1,200,27.309278
24.5,200,27.355009
52.3,200,27.396468
23.2,200,27.438607
29.9,200,27.48131
50.7,200,27.524761
24.2,200,27.56827
29.2,200,27.61135
56.8,200,27.653363
36.2,200,27.696923
57.3,200,27.738348
52.0,200,27.781135
50.4,200,27.82285
33.4,200,27.867034
34.1,200,27.909124
31.9,200,27.951132
47.2,200,27.993531
54.7,200,28.035946
23.5,200,28.080007
10.2,200,28.123081
50.8,200,28.164274
57.8,200,28.207962
19.5,200,28.250695
21.7,200,28.294687
48.3,200,28.336871
6.8,200,28.380919
51.8,200,28.423663
41.1,200,28.465322
50.5,200,28.507372
21.9,200,28.553887
25.7,200,28.59924
56.1,200,28.639998
27.3,200,28.682769
55.8,200,28.726694
9.5,200,28.769698
23.2,200,28.8125
11.7,200,28.85542
53.0,200,28.897955
7.8,200,28.941894
50.2,200,28.9838
57.5,200,29.025916
25.8,200,29.069846
33.0,200,29.111375
10.3,200,29.154575
46.5,200,29.196179
57.4,200,29.23977
39.2,200,29.282511
18.4,200,29.325262
22.0,200,29.368308
