#{"t_start": 1762470199.700185, "env_id": "None"}
r,l,t
55.9,200,19.654942
31.5,200,19.682415
57.3,200,19.70941
28.2,200,19.736901
21.5,200,19.765803
55.5,200,19.793107
41.3,200,19.820976
30.9,200,19.849462
19.5,200,19.877659
58.1,200,19.90503
36.4,200,20.156247
43.0,200,20.185297
29.1,200,20.213399
30.6,200,20.241389
32.6,200,20.269308
28.2,200,20.298693
37.2,200,20.327067
57.7,200,20.354525
24.9,200,20.384047
57.0,200,20.411289
57.9,200,20.66166
33.6,200,20.690738
30.2,200,20.719068
33.7,200,20.747147
48.4,200,20.774695
49.6,200,20.803105
50.0,200,20.830316
29.9,200,20.857888
51.9,200,20.884774
51.0,200,20.913051
49.3,200,21.164303
25.3,200,21.192127
44.7,200,21.221275
25.9,200,21.25004
30.3,200,21.277576
55.3,200,21.304743
36.5,200,21.333828
28.2,200,21.362719
34.1,200,21.390876
19.9,200,21.420195
49.1,200,21.673062
48.9,200,21.700775
23.9,200,21.72957
53.7,200,21.758025
32.4,200,21.786049
42.3,200,21.813944
57.8,200,21.842096
43.0,200,21.869802
2.8,200,21.898537
55.2,200,21.925759
57.7,200,21.953897
38.9,200,22.204413
29.4,200,22.23197
58.1,200,22.25852
35.7,200,22.287479
57.9,200,22.314807
33.5,200,22.343295
56.5,200,22.371234
31.1,200,22.399919
35.7,200,22.427622
28.7,200,22.455495
51.9,200,22.706566
50.3,200,22.733862
31.1,200,22.761704
28.1,200,22.790432
52.7,200,22.818213
56.6,200,22.845201
57.6,200,22.872184
23.1,200,22.901087
56.5,200,22.928463
22.7,200,22.95693
58.1,200,23.207516
29.3,200,23.236108
25.1,200,23.264234
29.2,200,23.291904
42.3,200,23.320469
51.7,200,23.34818
48.4,200,23.375586
52.3,200,23.403003
49.5,200,23.431179
57.4,200,23.458353
53.4,200,23.709189
30.0,200,23.738464
57.8,200,23.765882
34.0,200,23.793632
53.7,200,23.821083
25.4,200,23.850133
21.9,200,23.878782
46.4,200,23.90672
52.7,200,23.934473
19.8,200,23.963854
58.8,200,23.990787
58.2,200,24.241587
24.7,200,24.270896
24.7,200,24.299218
38.6,200,24.327128
47.2,200,24.35458
52.0,200,24.383116
34.7,200,24.410529
19.4,200,24.438505
37.2,200,24.465932
45.7,200,24.494801
32.2,200,24.746862
35.3,200,24.774822
53.6,200,24.803259
55.2,200,24.830524
48.4,200,24.858143
39.6,200,24.886143
53.3,200,24.91483
50.1,200,24.943043
26.5,200,24.971332
53.6,200,24.998804
42.1,200,25.25185
54.0,200,25.279662
45.7,200,25.307286
26.0,200,25.336849
30.4,200,25.365248
9.1,200,25.394518
48.3,200,25.422718
51.8,200,25.450337
41.8,200,25.478125
47.0,200,25.50542
53.7,200,25.757043
47.2,200,25.78511
10.9,200,25.814348
26.1,200,25.843476
55.1,200,25.87137
25.6,200,25.899713
51.0,200,25.927275
53.7,200,25.956196
40.1,200,25.984616
57.1,200,26.012138
54.6,200,26.039193
37.4,200,26.29125
33.7,200,26.31898
58.3,200,26.346399
46.0,200,26.375251
24.8,200,26.403665
47.3,200,26.431464
54.3,200,26.459056
57.9,200,26.487549
58.0,200,26.51503
38.7,200,26.543375
40.1,200,26.825426
56.9,200,26.852265
57.2,200,26.879173
23.1,200,26.90832
25.0,200,26.936727
50.7,200,26.963936
38.3,200,26.992103
49.0,200,27.020385
56.3,200,27.047574
25.7,200,27.075036
53.1,200,27.326523
27.3,200,27.354781
14.4,200,27.383525
49.6,200,27.4112
41.2,200,27.440058
55.5,200,27.467645
37.8,200,27.495319
57.9,200,27.52256
52.4,200,27.55095
29.5,200,27.579055
2.7,200,27.832489
51.2,200,27.861355
29.7,200,27.889749
39.2,200,27.917759
33.1,200,27.945923
48.2,200,27.974872
35.0,200,28.002792
43.0,200,28.030626
45.9,200,28.058756
32.5,200,28.087253
43.1,200,28.341315
39.8,200,28.369561
54.7,200,28.399111
12.1,200,28.428882
51.7,200,28.456242
58.3,200,28.483665
29.3,200,28.511713
50.2,200,28.538948
7.5,200,28.567692
53.4,200,28.596274
33.9,200,28.624066
58.4,200,28.874317
18.8,200,28.903283
37.0,200,28.931561
4.4,200,28.960034
52.3,200,28.987339
53.3,200,29.015975
35.2,200,29.043625
31.6,200,29.071771
30.3,200,29.100189
51.4,200,29.128676
58.4,200,29.377696
54.2,200,29.405108
58.2,200,29.433136
12.1,200,29.462286
53.2,200,29.49
41.4,200,29.517723
36.8,200,29.546682
51.8,200,29.57425
40.3,200,29.602052
30.8,200,29.629948
41.5,200,29.879789
52.0,200,29.907093
56.6,200,29.934569
58.4,200,29.962564
55.9,200,29.989635
55.4,200,30.016715
40.5,200,30.044344
53.0,200,30.072866
22.9,200,30.101204
51.5,200,30.128419
57.2,200,30.377682
34.7,200,30.405521
58.4,200,30.432281
32.8,200,30.459614
41.0,200,30.488167
26.5,200,30.516116
38.3,200,30.543762
56.0,200,30.570913
19.9,200,30.600604
58.4,200,30.627175
49.4,200,30.654831
53.4,200,30.904857
57.1,200,30.932551
45.3,200,30.960174
42.9,200,30.987929
59.4,200,31.01622
53.9,200,31.043314
23.5,200,31.071322
56.3,200,31.09876
50.7,200,31.126859
55.0,200,31.154215
33.5,200,31.404351
27.5,200,31.433585
56.0,200,31.461093
44.7,200,31.488657
30.0,200,31.516955
35.2,200,31.54666
49.8,200,31.574053
53.8,200,31.601386
59.3,200,31.629209
58.5,200,31.656503
54.4,200,31.905704
13.8,200,31.934528
33.3,200,31.963356
48.8,200,31.990864
13.8,200,32.019368
36.0,200,32.047937
55.4,200,32.075679
40.0,200,32.103634
44.9,200,32.13123
54.7,200,32.159255
55.5,200,32.408124
45.7,200,32.435776
50.4,200,32.463161
44.4,200,32.492133
27.1,200,32.520574
31.3,200,32.548318
57.5,200,32.576742
51.4,200,32.604419
57.4,200,32.631346
54.3,200,32.658698
58.4,200,32.687101
50.1,200,32.936005
26.2,200,32.96402
50.2,200,32.99308
57.3,200,33.020754
21.9,200,33.048326
19.7,200,33.07612
56.5,200,33.104321
58.4,200,33.131236
35.5,200,33.159059
58.4,200,33.186222
57.9,200,33.437206
54.9,200,33.464326
53.9,200,33.491905
52.9,200,33.520208
49.5,200,33.548312
40.0,200,33.576207
35.5,200,33.604212
57.0,200,33.632327
55.9,200,33.659445
58.4,200,33.686559
17.9,200,33.938248
53.4,200,33.965397
46.8,200,33.992661
58.4,200,34.019267
27.2,200,34.048538
37.8,200,34.076919
52.0,200,34.105013
55.9,200,34.132425
58.2,200,34.160287
29.1,200,34.188242
21.3,200,34.438722
25.8,200,34.46797
58.0,200,34.495088
20.7,200,34.523462
54.0,200,34.550585
50.4,200,34.579015
52.4,200,34.606584
46.5,200,34.634236
41.8,200,34.66211
33.8,200,34.690546
42.5,200,34.718278
35.7,200,34.969076
36.2,200,34.998981
51.9,200,35.026521
58.4,200,35.053789
50.9,200,35.080717
24.5,200,35.110191
28.8,200,35.138341
40.0,200,35.165887
44.8,200,35.193863
32.3,200,35.221253
35.8,200,35.471596
39.9,200,35.499114
38.0,200,35.528413
32.3,200,35.557034
35.7,200,35.585075
37.9,200,35.613916
58.3,200,35.641305
50.9,200,35.668789
29.0,200,35.696628
58.8,200,35.724668
39.3,200,35.974588
55.9,200,36.002381
38.2,200,36.030836
45.5,200,36.05904
41.9,200,36.086816
34.4,200,36.11491
49.7,200,36.143234
53.0,200,36.171273
59.5,200,36.198094
58.4,200,36.225233
51.9,200,36.475889
16.8,200,36.505202
37.5,200,36.534004
49.0,200,36.563098
21.8,200,36.591999
25.0,200,36.620105
33.5,200,36.648056
54.2,200,36.676716
30.2,200,36.70483
28.0,200,36.732928
38.3,200,36.760512
37.3,200,37.011121
33.0,200,37.03896
31.0,200,37.068094
41.4,200,37.097069
51.8,200,37.124259
47.9,200,37.15204
58.5,200,37.178768
57.9,200,37.20713
31.5,200,37.235353
51.5,200,37.262777
5.4,200,37.5138
36.5,200,37.541841
51.0,200,37.569412
56.3,200,37.596702
55.5,200,37.624945
29.0,200,37.65252
58.4,200,37.679057
45.0,200,37.706742
50.3,200,37.735549
52.0,200,37.763027
58.5,200,38.013235
58.4,200,38.041718
53.3,200,38.068678
28.9,200,38.097006
17.9,200,38.126244
41.0,200,38.154867
41.4,200,38.182976
57.4,200,38.210273
34.0,200,38.239089
35.4,200,38.267355
35.9,200,38.517233
40.9,200,38.545717
44.3,200,38.574127
51.3,200,38.605982
24.8,200,38.641372
33.9,200,38.673861
58.3,200,38.701918
55.2,200,38.733494
26.5,200,38.762649
